----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Conv2d-169            [-1, 640, 8, 8]           5,760
     BatchNorm2d-170            [-1, 640, 8, 8]           1,280
            SiLU-171            [-1, 640, 8, 8]               0
AdaptiveAvgPool2d-172            [-1, 640, 1, 1]               0
          Conv2d-173             [-1, 40, 1, 1]          25,640
            SiLU-174             [-1, 40, 1, 1]               0
          Conv2d-175            [-1, 640, 1, 1]          26,240
         Sigmoid-176            [-1, 640, 1, 1]               0
SqueezeExcitation-177            [-1, 640, 8, 8]               0
          Conv2d-178            [-1, 160, 8, 8]         102,400
     BatchNorm2d-179            [-1, 160, 8, 8]             320
 StochasticDepth-180            [-1, 160, 8, 8]               0
          MBConv-181            [-1, 160, 8, 8]               0
          Conv2d-182            [-1, 640, 8, 8]         102,400
     BatchNorm2d-183            [-1, 640, 8, 8]           1,280
            SiLU-184            [-1, 640, 8, 8]               0
          Conv2d-185            [-1, 640, 8, 8]           5,760
     BatchNorm2d-186            [-1, 640, 8, 8]           1,280
            SiLU-187            [-1, 640, 8, 8]               0
AdaptiveAvgPool2d-188            [-1, 640, 1, 1]               0
          Conv2d-189             [-1, 40, 1, 1]          25,640
            SiLU-190             [-1, 40, 1, 1]               0
          Conv2d-191            [-1, 640, 1, 1]          26,240
         Sigmoid-192            [-1, 640, 1, 1]               0
SqueezeExcitation-193            [-1, 640, 8, 8]               0
          Conv2d-194            [-1, 160, 8, 8]         102,400
     BatchNorm2d-195            [-1, 160, 8, 8]             320
 StochasticDepth-196            [-1, 160, 8, 8]               0
          MBConv-197            [-1, 160, 8, 8]               0
          Conv2d-198            [-1, 960, 8, 8]         153,600
     BatchNorm2d-199            [-1, 960, 8, 8]           1,920
            SiLU-200            [-1, 960, 8, 8]               0
          Conv2d-201            [-1, 960, 8, 8]           8,640
     BatchNorm2d-202            [-1, 960, 8, 8]           1,920
            SiLU-203            [-1, 960, 8, 8]               0
AdaptiveAvgPool2d-204            [-1, 960, 1, 1]               0
          Conv2d-205             [-1, 40, 1, 1]          38,440
            SiLU-206             [-1, 40, 1, 1]               0
          Conv2d-207            [-1, 960, 1, 1]          39,360
         Sigmoid-208            [-1, 960, 1, 1]               0
SqueezeExcitation-209            [-1, 960, 8, 8]               0
          Conv2d-210            [-1, 176, 8, 8]         168,960
     BatchNorm2d-211            [-1, 176, 8, 8]             352
          MBConv-212            [-1, 176, 8, 8]               0
          Conv2d-213           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-214           [-1, 1056, 8, 8]           2,112
            SiLU-215           [-1, 1056, 8, 8]               0
          Conv2d-216           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-217           [-1, 1056, 8, 8]           2,112
            SiLU-218           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-219           [-1, 1056, 1, 1]               0
          Conv2d-220             [-1, 44, 1, 1]          46,508
            SiLU-221             [-1, 44, 1, 1]               0
          Conv2d-222           [-1, 1056, 1, 1]          47,520
         Sigmoid-223           [-1, 1056, 1, 1]               0
SqueezeExcitation-224           [-1, 1056, 8, 8]               0
          Conv2d-225            [-1, 176, 8, 8]         185,856
     BatchNorm2d-226            [-1, 176, 8, 8]             352
 StochasticDepth-227            [-1, 176, 8, 8]               0
          MBConv-228            [-1, 176, 8, 8]               0
          Conv2d-229           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-230           [-1, 1056, 8, 8]           2,112
            SiLU-231           [-1, 1056, 8, 8]               0
          Conv2d-232           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-233           [-1, 1056, 8, 8]           2,112
            SiLU-234           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-235           [-1, 1056, 1, 1]               0
          Conv2d-236             [-1, 44, 1, 1]          46,508
            SiLU-237             [-1, 44, 1, 1]               0
          Conv2d-238           [-1, 1056, 1, 1]          47,520
         Sigmoid-239           [-1, 1056, 1, 1]               0
SqueezeExcitation-240           [-1, 1056, 8, 8]               0
          Conv2d-241            [-1, 176, 8, 8]         185,856
     BatchNorm2d-242            [-1, 176, 8, 8]             352
 StochasticDepth-243            [-1, 176, 8, 8]               0
          MBConv-244            [-1, 176, 8, 8]               0
          Conv2d-245           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-246           [-1, 1056, 8, 8]           2,112
            SiLU-247           [-1, 1056, 8, 8]               0
          Conv2d-248           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-249           [-1, 1056, 8, 8]           2,112
            SiLU-250           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-251           [-1, 1056, 1, 1]               0
          Conv2d-252             [-1, 44, 1, 1]          46,508
            SiLU-253             [-1, 44, 1, 1]               0
          Conv2d-254           [-1, 1056, 1, 1]          47,520
         Sigmoid-255           [-1, 1056, 1, 1]               0
SqueezeExcitation-256           [-1, 1056, 8, 8]               0
          Conv2d-257            [-1, 176, 8, 8]         185,856
     BatchNorm2d-258            [-1, 176, 8, 8]             352
 StochasticDepth-259            [-1, 176, 8, 8]               0
          MBConv-260            [-1, 176, 8, 8]               0
          Conv2d-261           [-1, 1056, 8, 8]         185,856
